level,reachable_now,level_factor,xp_total,xp_this_level,group_min,group_max,hull_light,hull_medium,hull_heavy,hull_super_heavy,hull_super_heavy_plus,shield_hp_mk1,shield_hp_mk2,shield_hp_mk3,shield_hp_mk4,shield_hp_mk5,shield_regen_mk1,shield_regen_mk2,shield_regen_mk3,shield_regen_mk4,shield_regen_mk5,armor_hp_mk1,armor_hp_mk2,armor_hp_mk3,armor_hp_mk4,armor_hp_mk5,armor_dr_mk1,armor_dr_mk2,armor_dr_mk3,armor_dr_mk4,armor_dr_mk5,dps_mk1,dps_mk2,dps_mk3,dps_mk4,dps_mk5,dot_dps_mk1,dot_dps_mk2,dot_dps_mk3,dot_dps_mk4,dot_dps_mk5
1,yes,1.0,0,0,1,5,138,299,644,1380,2990,69,126,218,368,598,4.29,5.79,7.72,10.29,13.73,92,167,288,483,782,18.9,20.2,21.4,22.4,23.3,23.0,39.1,66.7,112.7,190.9,13.4,22.8,38.9,65.8,111.4
2,yes,1.08,500,500,1,5,149,323,696,1490,3229,75,137,236,397,646,4.46,6.02,8.02,10.7,14.26,99,180,310,522,845,19.2,20.5,21.6,22.6,23.5,24.8,42.2,72.0,121.7,206.2,14.3,24.3,41.4,69.9,118.5
3,yes,1.166,1515,1015,1,6,161,349,751,1610,3488,80,148,255,429,698,4.63,6.25,8.34,11.12,14.82,107,194,335,563,912,19.5,20.7,21.8,22.8,23.7,26.8,45.6,77.8,131.5,222.7,15.2,25.8,44.0,74.4,126.0
4,yes,1.26,2899,1384,1,8,174,377,811,1738,3767,87,159,275,464,753,4.81,6.5,8.67,11.55,15.41,116,210,362,608,985,19.7,21.0,22.0,23.0,23.8,29.0,49.3,84.0,142.0,240.5,16.1,27.4,46.8,79.1,134.0
5,yes,1.36,4594,1695,1,10,188,407,876,1877,4068,94,172,297,501,814,5.0,6.75,9.01,12.01,16.01,125,227,391,657,1064,20.0,21.2,22.2,23.2,24.0,31.3,53.2,90.7,153.3,259.7,17.2,29.2,49.8,84.1,142.5
6,yes,1.469,6566,1972,1,12,203,439,946,2028,4393,101,186,321,541,879,5.2,7.02,9.36,12.48,16.64,135,245,422,710,1149,20.2,21.4,22.4,23.3,24.2,33.8,57.5,98.0,165.6,280.5,18.3,31.0,52.9,89.5,151.5
7,yes,1.587,8790,2224,2,14,219,474,1022,2190,4745,109,201,347,584,949,5.4,7.29,9.73,12.97,17.29,146,265,456,766,1241,20.5,21.6,22.6,23.5,24.3,36.5,62.0,105.8,178.8,302.9,19.4,33.0,56.3,95.1,161.2
8,yes,1.714,11249,2459,3,16,237,512,1104,2365,5124,118,217,374,631,1025,5.62,7.58,10.11,13.48,17.97,158,286,493,828,1340,20.7,21.8,22.8,23.7,24.5,39.4,67.0,114.3,193.1,327.2,20.6,35.1,59.9,101.2,171.4
9,yes,1.851,13928,2679,4,18,255,553,1192,2554,5534,128,234,404,681,1107,5.84,7.88,10.5,14.01,18.67,170,309,532,894,1447,21.0,22.0,23.0,23.8,24.6,42.6,72.4,123.5,208.6,353.3,22.0,37.3,63.7,107.6,182.3
10,yes,1.999,16817,2889,5,20,276,598,1287,2759,5977,138,253,437,736,1195,6.06,8.19,10.92,14.56,19.41,184,333,575,966,1563,21.2,22.2,23.2,24.0,24.8,46.0,78.2,133.3,225.3,381.6,23.4,39.7,67.7,114.4,193.9
11,yes,2.159,19905,3088,5,22,298,646,1390,2979,6455,149,273,472,794,1291,6.3,8.51,11.34,15.13,20.17,199,360,621,1043,1688,21.4,22.4,23.3,24.2,24.9,49.7,84.4,144.0,243.3,412.1,24.8,42.2,72.0,121.7,206.2
12,yes,2.332,23184,3279,6,24,322,697,1502,3218,6972,161,295,509,858,1394,6.55,8.84,11.79,15.72,20.96,215,389,670,1126,1823,21.6,22.6,23.5,24.3,25.0,53.6,91.2,155.5,262.8,445.1,26.4,44.9,76.6,129.4,219.3
13,yes,2.518,26647,3463,6,26,348,753,1622,3475,7529,174,319,550,927,1506,6.81,9.19,12.25,16.34,21.78,232,420,724,1216,1969,21.8,22.8,23.7,24.5,25.2,57.9,98.5,168.0,283.8,480.7,28.1,47.8,81.5,137.7,233.2
14,yes,2.72,30288,3641,7,28,375,813,1751,3753,8132,188,344,594,1001,1626,7.07,9.55,12.73,16.98,22.64,250,453,782,1314,2127,22.0,23.0,23.8,24.6,25.3,62.6,106.3,181.4,306.5,519.2,29.9,50.8,86.6,146.4,248.0
15,yes,2.937,34101,3813,7,30,405,878,1892,4053,8782,203,372,642,1081,1756,7.35,9.92,13.23,17.64,23.52,270,490,844,1419,2297,22.2,23.2,24.0,24.8,25.5,67.6,114.8,195.9,331.0,560.7,31.8,54.0,92.1,155.7,263.7
16,yes,3.172,38081,3980,8,32,438,948,2043,4378,9485,219,401,693,1167,1897,7.64,10.31,13.75,18.34,24.45,292,529,912,1532,2481,22.4,23.3,24.2,24.9,25.6,73.0,124.0,211.6,357.5,605.6,33.8,57.4,98.0,165.6,280.5
17,yes,3.426,42224,4143,8,34,473,1024,2206,4728,10244,236,433,749,1261,2049,7.94,10.72,14.29,19.06,25.41,315,571,985,1655,2679,22.6,23.5,24.3,25.0,25.7,78.8,134.0,228.5,386.1,654.0,35.9,61.1,104.2,176.1,298.3
