level,level_factor,hull_light,hull_medium,hull_heavy,hull_super_heavy,hull_super_heavy_plus,shield_hp_mk1,shield_hp_mk2,shield_hp_mk3,shield_hp_mk4,shield_hp_mk5,shield_regen_mk1,shield_regen_mk2,shield_regen_mk3,shield_regen_mk4,shield_regen_mk5,armor_hp_mk1,armor_hp_mk2,armor_hp_mk3,armor_hp_mk4,armor_hp_mk5,armor_dr_mk1,armor_dr_mk2,armor_dr_mk3,armor_dr_mk4,armor_dr_mk5,dps_mk1,dps_mk2,dps_mk3,dps_mk4,dps_mk5,dot_dps_mk1,dot_dps_mk2,dot_dps_mk3,dot_dps_mk4,dot_dps_mk5
1,1.0,182,395,851,1824,3952,91,167,289,486,790,4.93,6.66,8.88,11.84,15.78,122,220,380,638,1034,23.3,24.2,24.9,25.6,26.2,30.4,51.7,88.2,149.0,252.3,16.8,28.5,48.6,82.2,139.2
2,1.05,192,415,894,1915,4150,96,176,303,511,830,5.05,6.82,9.1,12.13,16.17,128,231,399,670,1085,23.5,24.3,25.0,25.7,26.3,31.9,54.3,92.6,156.4,264.9,17.4,29.7,50.6,85.5,144.8
3,1.1,201,435,936,2006,4347,100,184,318,535,869,5.17,6.98,9.31,12.41,16.55,134,242,418,702,1137,23.7,24.5,25.2,25.8,26.4,33.4,56.8,97.0,163.9,277.6,18.1,30.8,52.5,88.7,150.3
4,1.15,210,454,979,2098,4545,105,192,332,559,909,5.29,7.14,9.52,12.69,16.92,140,253,437,734,1189,23.8,24.6,25.3,26.0,26.6,35.0,59.4,101.4,171.3,290.2,18.8,31.9,54.4,91.9,155.7
5,1.2,219,474,1021,2189,4742,109,201,347,584,948,5.4,7.29,9.72,12.97,17.29,146,264,456,766,1240,24.0,24.8,25.5,26.1,26.7,36.5,62.0,105.8,178.8,302.8,19.4,33.0,56.3,95.1,161.1
6,1.25,228,494,1064,2280,4940,114,209,361,608,988,5.51,7.44,9.92,13.23,17.64,152,276,475,798,1292,24.2,24.9,25.6,26.2,26.8,38.0,64.6,110.2,186.2,315.4,20.1,34.1,58.2,98.3,166.4
7,1.3,237,514,1107,2371,5138,119,217,375,632,1028,5.62,7.59,10.12,13.49,17.99,158,287,494,830,1344,24.3,25.0,25.7,26.3,26.9,39.5,67.2,114.6,193.6,328.0,20.7,35.2,60.0,101.4,171.7
8,1.35,246,534,1149,2462,5335,123,226,390,657,1067,5.73,7.74,10.31,13.75,18.34,164,298,513,862,1395,24.5,25.2,25.8,26.4,27.0,41.0,69.8,119.0,201.1,340.6,21.3,36.3,61.8,104.5,177.0
9,1.4,255,553,1192,2554,5533,128,234,404,681,1107,5.84,7.88,10.5,14.0,18.67,170,309,532,894,1447,24.6,25.3,26.0,26.6,27.1,42.6,72.4,123.4,208.5,353.2,22.0,37.3,63.7,107.6,182.2
10,1.45,264,573,1234,2645,5730,132,242,419,705,1146,5.94,8.02,10.69,14.25,19.0,176,320,551,926,1499,24.8,25.5,26.1,26.7,27.2,44.1,74.9,127.8,216.0,365.9,22.6,38.4,65.5,110.6,187.4
11,1.5,274,593,1277,2736,5928,137,251,433,730,1186,6.04,8.15,10.87,14.5,19.33,182,331,570,958,1550,24.9,25.6,26.2,26.8,27.3,45.6,77.5,132.2,223.4,378.5,23.2,39.4,67.3,113.7,192.6
12,1.55,283,613,1319,2827,6126,141,259,448,754,1225,6.14,8.29,11.05,14.74,19.65,188,342,589,990,1602,25.0,25.7,26.3,26.9,27.4,47.1,80.1,136.6,230.9,391.1,23.8,40.5,69.1,116.7,197.7
13,1.6,292,632,1362,2918,6323,146,268,462,778,1265,6.24,8.42,11.23,14.97,19.96,195,353,608,1021,1654,25.2,25.8,26.4,27.0,27.5,48.6,82.7,141.1,238.3,403.7,24.4,41.5,70.9,119.7,202.8
14,1.65,301,652,1404,3010,6521,150,276,477,803,1304,6.33,8.55,11.4,15.2,20.27,201,364,627,1053,1705,25.3,26.0,26.6,27.1,27.6,50.2,85.3,145.5,245.8,416.3,25.0,42.6,72.6,122.7,207.8
15,1.7,310,672,1447,3101,6718,155,284,491,827,1344,6.43,8.68,11.57,15.43,20.58,207,375,646,1085,1757,25.5,26.1,26.7,27.2,27.7,51.7,87.9,149.9,253.2,428.9,25.6,43.6,74.4,125.7,212.9
16,1.75,319,692,1490,3192,6916,160,293,505,851,1383,6.52,8.81,11.74,15.66,20.88,213,386,665,1117,1809,25.6,26.2,26.8,27.3,27.8,53.2,90.4,154.3,260.7,441.6,26.2,44.6,76.1,128.6,217.9
17,1.8,328,711,1532,3283,7114,164,301,520,876,1423,6.62,8.93,11.91,15.88,21.17,219,397,684,1149,1860,25.7,26.3,26.9,27.4,27.9,54.7,93.0,158.7,268.1,454.2,26.8,45.6,77.9,131.5,222.8
18,1.85,337,731,1575,3374,7311,169,309,534,900,1462,6.71,9.06,12.07,16.1,21.46,225,408,703,1181,1912,25.8,26.4,27.0,27.5,28.0,56.2,95.6,163.1,275.6,466.8,27.4,46.6,79.6,134.5,227.8
19,1.9,347,751,1617,3466,7509,173,318,549,924,1502,6.8,9.18,12.24,16.31,21.75,231,419,722,1213,1964,26.0,26.6,27.1,27.6,28.1,57.8,98.2,167.5,283.0,479.4,28.0,47.7,81.3,137.4,232.7
