level,level_factor,hull_light,hull_medium,hull_heavy,hull_super_heavy,hull_super_heavy_plus,shield_hp_mk1,shield_hp_mk2,shield_hp_mk3,shield_hp_mk4,shield_hp_mk5,shield_regen_mk1,shield_regen_mk2,shield_regen_mk3,shield_regen_mk4,shield_regen_mk5,armor_hp_mk1,armor_hp_mk2,armor_hp_mk3,armor_hp_mk4,armor_hp_mk5,armor_dr_mk1,armor_dr_mk2,armor_dr_mk3,armor_dr_mk4,armor_dr_mk5,dps_mk1,dps_mk2,dps_mk3,dps_mk4,dps_mk5,dot_dps_mk1,dot_dps_mk2,dot_dps_mk3,dot_dps_mk4,dot_dps_mk5
1,1.0,210,455,980,2100,4550,105,192,332,560,910,5.29,7.14,9.52,12.7,16.93,140,254,438,735,1190,24.9,25.6,26.2,26.8,27.3,35.0,59.5,101.5,171.5,290.5,18.8,31.9,54.5,92.0,155.8
2,1.05,221,478,1029,2205,4778,110,202,349,588,956,5.42,7.32,9.76,13.01,17.35,147,266,459,772,1250,25.0,25.7,26.3,26.9,27.4,36.8,62.5,106.6,180.1,305.0,19.5,33.2,56.6,95.7,162.0
3,1.1,231,501,1078,2310,5005,116,212,366,616,1001,5.55,7.49,9.99,13.32,17.76,154,279,481,809,1309,25.2,25.8,26.4,27.0,27.5,38.5,65.5,111.7,188.7,319.6,20.3,34.4,58.8,99.3,168.2
4,1.15,241,523,1127,2415,5232,121,221,382,644,1046,5.67,7.66,10.21,13.62,18.16,161,292,503,845,1368,25.3,26.0,26.6,27.1,27.6,40.2,68.4,116.7,197.2,334.1,21.0,35.7,60.9,102.9,174.3
5,1.2,252,546,1176,2520,5460,126,231,399,672,1092,5.8,7.83,10.43,13.91,18.55,168,304,525,882,1428,25.5,26.1,26.7,27.2,27.7,42.0,71.4,121.8,205.8,348.6,21.7,36.9,63.0,106.5,180.3
6,1.25,262,569,1225,2625,5688,131,241,416,700,1138,5.92,7.99,10.65,14.2,18.93,175,317,547,919,1488,25.6,26.2,26.8,27.3,27.8,43.8,74.4,126.9,214.4,363.1,22.4,38.2,65.1,110.0,186.3
7,1.3,273,592,1274,2730,5915,136,250,432,728,1183,6.03,8.14,10.86,14.48,19.31,182,330,569,956,1547,25.7,26.3,26.9,27.4,27.9,45.5,77.3,131.9,222.9,377.6,23.2,39.4,67.2,113.5,192.2
8,1.35,284,614,1323,2835,6143,142,260,449,756,1229,6.15,8.3,11.07,14.76,19.67,189,343,591,992,1607,25.8,26.4,27.0,27.5,28.0,47.3,80.3,137.0,231.5,392.2,23.9,40.6,69.2,117.0,198.1
9,1.4,294,637,1372,2940,6370,147,269,465,784,1274,6.26,8.45,11.27,15.03,20.04,196,355,612,1029,1666,26.0,26.6,27.1,27.6,28.1,49.0,83.3,142.1,240.1,406.7,24.6,41.8,71.3,120.4,204.0
10,1.45,304,660,1421,3045,6598,152,279,482,812,1320,6.37,8.6,11.47,15.29,20.39,203,368,634,1066,1726,26.1,26.7,27.2,27.7,28.1,50.8,86.3,147.2,248.7,421.2,25.3,43.0,73.3,123.9,209.8
