level,level_factor,xp_total,xp_this_level,hull_light,hull_medium,hull_heavy,hull_super_heavy,hull_super_heavy_plus,shield_hp_mk1,shield_hp_mk2,shield_hp_mk3,shield_hp_mk4,shield_hp_mk5,shield_regen_mk1,shield_regen_mk2,shield_regen_mk3,shield_regen_mk4,shield_regen_mk5,armor_hp_mk1,armor_hp_mk2,armor_hp_mk3,armor_hp_mk4,armor_hp_mk5,armor_dr_mk1,armor_dr_mk2,armor_dr_mk3,armor_dr_mk4,armor_dr_mk5,dps_mk1,dps_mk2,dps_mk3,dps_mk4,dps_mk5,dot_dps_mk1,dot_dps_mk2,dot_dps_mk3,dot_dps_mk4,dot_dps_mk5
1,1.0,0,0,96,208,448,960,2080,48,88,152,256,416,3.58,4.83,6.44,8.59,11.45,64,116,200,336,544,5.2,8.6,11.4,13.8,15.8,16.0,27.2,46.4,78.4,132.8,10.0,17.1,29.1,49.2,83.3
2,1.08,40,40,104,225,484,1037,2246,52,95,164,276,449,3.72,5.02,6.69,8.92,11.9,69,125,216,363,588,6.0,9.2,11.9,14.2,16.1,17.3,29.4,50.1,84.7,143.4,10.7,18.1,31.0,52.3,88.6
3,1.166,160,120,112,243,523,1120,2426,56,103,177,299,485,3.86,5.22,6.96,9.27,12.36,75,135,233,392,635,6.7,9.8,12.4,14.6,16.5,18.7,31.7,54.1,91.4,154.9,11.4,19.3,32.9,55.6,94.2
4,1.26,360,200,121,262,564,1209,2620,60,111,191,322,524,4.02,5.42,7.23,9.64,12.85,81,146,252,423,685,7.3,10.4,12.9,15.0,16.8,20.2,34.3,58.5,98.8,167.3,12.1,20.5,35.0,59.2,100.2
5,1.36,640,280,131,283,609,1306,2830,65,120,207,348,566,4.17,5.63,7.51,10.02,13.35,87,158,272,457,740,8.0,10.9,13.3,15.4,17.1,21.8,37.0,63.1,106.7,180.7,12.8,21.8,37.2,62.9,106.6
6,1.469,1000,360,141,306,658,1411,3056,71,129,223,376,611,4.34,5.85,7.81,10.41,13.88,94,170,294,494,799,8.6,11.4,13.8,15.8,17.5,23.5,40.0,68.2,115.2,195.1,13.7,23.2,39.6,66.9,113.4
7,1.587,1440,440,152,330,711,1523,3301,76,140,241,406,660,4.51,6.08,8.11,10.82,14.42,102,184,317,533,863,9.2,11.9,14.2,16.1,17.8,25.4,43.2,73.6,124.4,210.7,14.5,24.7,42.1,71.2,120.5
8,1.714,1960,520,165,356,768,1645,3565,82,151,261,439,713,4.68,6.32,8.43,11.24,14.99,110,199,343,576,932,9.8,12.4,14.6,16.5,18.1,27.4,46.6,79.5,134.4,227.6,15.4,26.3,44.8,75.7,128.2
9,1.851,2560,600,178,385,829,1777,3850,89,163,281,474,770,4.87,6.57,8.76,11.68,15.58,118,215,370,622,1007,10.4,12.9,15.0,16.8,18.4,29.6,50.3,85.9,145.1,245.8,16.4,27.9,47.6,80.5,136.3
10,1.999,3240,680,192,416,896,1919,4158,96,176,304,512,832,5.06,6.83,9.11,12.14,16.19,128,232,400,672,1087,10.9,13.3,15.4,17.1,18.7,32.0,54.4,92.8,156.7,265.5,17.5,29.7,50.7,85.6,145.0
11,2.159,4000,760,207,449,967,2073,4491,104,190,328,553,898,5.26,7.1,9.46,12.62,16.82,138,250,432,725,1174,11.4,13.8,15.8,17.5,18.9,34.5,58.7,100.2,169.3,286.7,18.6,31.6,53.9,91.0,154.2
12,2.332,4840,840,224,485,1045,2238,4850,112,205,354,597,970,5.46,7.38,9.83,13.11,17.48,149,270,466,783,1268,11.9,14.2,16.1,17.8,19.2,37.3,63.4,108.2,182.8,309.6,19.8,33.6,57.3,96.8,164.0
13,2.518,5760,920,242,524,1128,2417,5238,121,222,383,645,1048,5.68,7.66,10.22,13.63,18.17,161,292,504,846,1370,12.4,14.6,16.5,18.1,19.5,40.3,68.5,116.8,197.4,334.4,21.0,35.7,60.9,103.0,174.4
14,2.72,6760,1000,261,566,1218,2611,5657,131,239,413,696,1131,5.9,7.97,10.62,14.16,18.88,174,315,544,914,1479,12.9,15.0,16.8,18.4,19.7,43.5,74.0,126.2,213.2,361.2,22.3,38.0,64.8,109.5,185.5
15,2.937,7840,1080,282,611,1316,2820,6109,141,258,446,752,1222,6.13,8.28,11.04,14.72,19.62,188,341,587,987,1598,13.3,15.4,17.1,18.7,20.0,47.0,79.9,136.3,230.3,390.1,23.8,40.4,68.9,116.5,197.3
16,3.172,9000,1160,305,660,1421,3045,6598,152,279,482,812,1320,6.37,8.6,11.47,15.29,20.39,203,368,634,1066,1726,13.8,15.8,17.5,18.9,20.2,50.8,86.3,147.2,248.7,421.3,25.3,43.0,73.3,123.9,209.8
17,3.426,10240,1240,329,713,1535,3289,7126,164,301,521,877,1425,6.62,8.94,11.92,15.89,21.19,219,397,685,1151,1864,14.2,16.1,17.8,19.2,20.5,54.8,93.2,159.0,268.6,455.0,26.9,45.7,78.0,131.7,223.1
18,3.7,11560,1320,355,770,1658,3552,7696,178,326,562,947,1539,6.88,9.29,12.39,16.52,22.02,237,429,740,1243,2013,14.6,16.5,18.1,19.5,20.7,59.2,100.6,171.7,290.1,491.4,28.6,48.6,82.9,140.1,237.3
19,3.996,12960,1400,384,831,1790,3836,8312,192,352,607,1023,1662,7.15,9.66,12.87,17.16,22.89,256,464,799,1343,2174,15.0,16.8,18.4,19.7,21.0,63.9,108.7,185.4,313.3,530.7,30.4,51.7,88.2,149.0,252.4
20,4.316,14440,1480,414,898,1933,4143,8977,207,380,656,1105,1795,7.43,10.03,13.38,17.84,23.78,276,501,863,1450,2348,15.4,17.1,18.7,20.0,21.2,69.1,117.4,200.2,338.4,573.1,32.3,55.0,93.8,158.4,268.4
21,4.661,16000,1560,447,969,2088,4475,9695,224,410,708,1193,1939,7.72,10.43,13.9,18.54,24.72,298,541,932,1566,2536,15.8,17.5,18.9,20.2,21.4,74.6,126.8,216.3,365.4,619.0,34.4,58.5,99.7,168.5,285.4
22,5.034,17640,1640,483,1047,2255,4832,10470,242,443,765,1289,2094,8.03,10.84,14.45,19.26,25.69,322,584,1007,1691,2738,16.1,17.8,19.2,20.5,21.6,80.5,136.9,233.6,394.7,668.5,36.6,62.2,106.1,179.2,303.6
23,5.437,19360,1720,522,1131,2436,5219,11308,261,478,826,1392,2262,8.34,11.26,15.02,20.02,26.69,348,631,1087,1827,2957,16.5,18.1,19.5,20.7,21.8,87.0,147.9,252.3,426.2,722.0,38.9,66.1,112.8,190.6,322.8
24,5.871,21160,1800,564,1221,2630,5637,12213,282,517,892,1503,2443,8.67,11.7,15.6,20.81,27.74,376,681,1174,1973,3194,16.8,18.4,19.7,21.0,22.0,93.9,159.7,272.4,460.3,779.7,41.4,70.3,120.0,202.7,343.3
25,6.341,23040,1880,609,1319,2841,6088,13190,304,558,964,1623,2638,9.01,12.16,16.22,21.62,28.83,406,736,1268,2131,3450,17.1,18.7,20.0,21.2,22.2,101.5,172.5,294.2,497.1,842.1,44.0,74.8,127.6,215.6,365.1
26,6.848,25000,1960,657,1424,3068,6575,14245,329,603,1041,1753,2849,9.36,12.64,16.85,22.47,29.96,438,794,1370,2301,3726,17.5,18.9,20.2,21.4,22.4,109.6,186.3,317.8,536.9,909.5,46.8,79.5,135.7,229.3,388.3
27,7.396,27040,2040,710,1538,3314,7100,15384,355,651,1124,1893,3077,9.73,13.14,17.51,23.35,31.14,473,858,1479,2485,4024,17.8,19.2,20.5,21.6,22.6,118.3,201.2,343.2,579.9,982.2,49.8,84.6,144.3,243.8,413.0
28,7.988,29160,2120,767,1662,3579,7669,16615,383,703,1214,2045,3323,10.11,13.65,18.2,24.27,32.36,511,927,1598,2684,4346,18.1,19.5,20.7,21.8,22.8,127.8,217.3,370.6,626.3,1060.8,52.9,90.0,153.5,259.3,439.2
29,8.627,31360,2200,828,1794,3865,8282,17944,414,759,1311,2209,3589,10.51,14.19,18.92,25.22,33.63,552,1001,1725,2899,4693,18.4,19.7,21.0,22.0,23.0,138.0,234.7,400.3,676.4,1145.7,56.3,95.7,163.2,275.8,467.1
30,9.317,33640,2280,894,1938,4174,8945,19380,447,820,1416,2385,3876,10.92,14.74,19.66,26.21,34.95,596,1081,1863,3131,5069,18.7,20.0,21.2,22.2,23.2,149.1,253.4,432.3,730.5,1237.3,59.9,101.7,173.6,293.3,496.8
