level,level_factor,hull_light,hull_medium,hull_heavy,hull_super_heavy,hull_super_heavy_plus,shield_hp_mk1,shield_hp_mk2,shield_hp_mk3,shield_hp_mk4,shield_hp_mk5,shield_regen_mk1,shield_regen_mk2,shield_regen_mk3,shield_regen_mk4,shield_regen_mk5,armor_hp_mk1,armor_hp_mk2,armor_hp_mk3,armor_hp_mk4,armor_hp_mk5,armor_dr_mk1,armor_dr_mk2,armor_dr_mk3,armor_dr_mk4,armor_dr_mk5,dps_mk1,dps_mk2,dps_mk3,dps_mk4,dps_mk5,dot_dps_mk1,dot_dps_mk2,dot_dps_mk3,dot_dps_mk4,dot_dps_mk5
1,1.0,120,260,560,1200,2600,60,110,190,320,520,4.0,5.4,7.2,9.6,12.8,80,145,250,420,680,15.8,17.5,18.9,20.2,21.4,20.0,34.0,58.0,98.0,166.0,12.0,20.4,34.8,58.8,99.6
2,1.05,126,273,588,1260,2730,63,116,200,336,546,4.1,5.53,7.38,9.84,13.12,84,152,262,441,714,16.1,17.8,19.2,20.5,21.6,21.0,35.7,60.9,102.9,174.3,12.5,21.2,36.2,61.1,103.6
3,1.1,132,286,616,1320,2860,66,121,209,352,572,4.2,5.66,7.55,10.07,13.42,88,160,275,462,748,16.5,18.1,19.5,20.7,21.8,22.0,37.4,63.8,107.8,182.6,13.0,22.0,37.6,63.5,107.5
4,1.15,138,299,644,1380,2990,69,126,218,368,598,4.29,5.79,7.72,10.29,13.73,92,167,288,483,782,16.8,18.4,19.7,21.0,22.0,23.0,39.1,66.7,112.7,190.9,13.4,22.8,38.9,65.8,111.4
5,1.2,144,312,672,1440,3120,72,132,228,384,624,4.38,5.92,7.89,10.52,14.02,96,174,300,504,816,17.1,18.7,20.0,21.2,22.2,24.0,40.8,69.6,117.6,199.2,13.9,23.6,40.3,68.0,115.2
6,1.25,150,325,700,1500,3250,75,138,238,400,650,4.47,6.04,8.05,10.73,14.31,100,181,312,525,850,17.5,18.9,20.2,21.4,22.4,25.0,42.5,72.5,122.5,207.5,14.3,24.4,41.6,70.3,119.1
7,1.3,156,338,728,1560,3380,78,143,247,416,676,4.56,6.16,8.21,10.95,14.59,104,188,325,546,884,17.8,19.2,20.5,21.6,22.6,26.0,44.2,75.4,127.4,215.8,14.8,25.2,42.9,72.5,122.9
8,1.35,162,351,756,1620,3510,81,148,256,432,702,4.65,6.27,8.37,11.15,14.87,108,196,338,567,918,18.1,19.5,20.7,21.8,22.8,27.0,45.9,78.3,132.3,224.1,15.3,25.9,44.2,74.8,126.6
9,1.4,168,364,784,1680,3640,84,154,266,448,728,4.73,6.39,8.52,11.36,15.15,112,203,350,588,952,18.4,19.7,21.0,22.0,23.0,28.0,47.6,81.2,137.2,232.4,15.7,26.7,45.5,77.0,130.4
10,1.45,174,377,812,1740,3770,87,160,276,464,754,4.82,6.5,8.67,11.56,15.41,116,210,362,609,986,18.7,20.0,21.2,22.2,23.2,29.0,49.3,84.1,142.1,240.7,16.2,27.5,46.8,79.2,134.1
11,1.5,180,390,840,1800,3900,90,165,285,480,780,4.9,6.61,8.82,11.76,15.68,120,218,375,630,1020,18.9,20.2,21.4,22.4,23.3,30.0,51.0,87.0,147.0,249.0,16.6,28.2,48.1,81.3,137.8
12,1.55,186,403,868,1860,4030,93,170,294,496,806,4.98,6.72,8.96,11.95,15.94,124,225,388,651,1054,19.2,20.5,21.6,22.6,23.5,31.0,52.7,89.9,151.9,257.3,17.0,29.0,49.4,83.5,141.4
13,1.6,192,416,896,1920,4160,96,176,304,512,832,5.06,6.83,9.11,12.14,16.19,128,232,400,672,1088,19.5,20.7,21.8,22.8,23.7,32.0,54.4,92.8,156.8,265.6,17.5,29.7,50.7,85.6,145.1
14,1.65,198,429,924,1980,4290,99,182,314,528,858,5.14,6.94,9.25,12.33,16.44,132,239,412,693,1122,19.7,21.0,22.0,23.0,23.8,33.0,56.1,95.7,161.7,273.9,17.9,30.5,51.9,87.8,148.7
15,1.7,204,442,952,2040,4420,102,187,323,544,884,5.22,7.04,9.39,12.52,16.69,136,247,425,714,1156,20.0,21.2,22.2,23.2,24.0,34.0,57.8,98.6,166.6,282.2,18.3,31.2,53.2,89.9,152.3
16,1.75,210,455,980,2100,4550,105,192,332,560,910,5.29,7.14,9.52,12.7,16.93,140,254,438,735,1190,20.2,21.4,22.4,23.3,24.2,35.0,59.5,101.5,171.5,290.5,18.8,31.9,54.5,92.0,155.8
17,1.8,216,468,1008,2160,4680,108,198,342,576,936,5.37,7.24,9.66,12.88,17.17,144,261,450,756,1224,20.5,21.6,22.6,23.5,24.3,36.0,61.2,104.4,176.4,298.8,19.2,32.6,55.7,94.1,159.4
18,1.85,222,481,1036,2220,4810,111,204,352,592,962,5.44,7.34,9.79,13.06,17.41,148,268,462,777,1258,20.7,21.8,22.8,23.7,24.5,37.0,62.9,107.3,181.3,307.1,19.6,33.4,56.9,96.2,162.9
19,1.9,228,494,1064,2280,4940,114,209,361,608,988,5.51,7.44,9.92,13.23,17.64,152,276,475,798,1292,21.0,22.0,23.0,23.8,24.6,38.0,64.6,110.2,186.2,315.4,20.1,34.1,58.2,98.3,166.4
20,1.95,234,507,1092,2340,5070,117,215,371,624,1014,5.59,7.54,10.05,13.41,17.87,156,283,488,819,1326,21.2,22.2,23.2,24.0,24.8,39.0,66.3,113.1,191.1,323.7,20.5,34.8,59.4,100.3,169.9
21,2.0,240,520,1120,2400,5200,120,220,380,640,1040,5.66,7.64,10.18,13.58,18.1,160,290,500,840,1360,21.4,22.4,23.3,24.2,24.9,40.0,68.0,116.0,196.0,332.0,20.9,35.5,60.6,102.4,173.4
